2025-01-15 10:44:30 | INFO | __main__ | Starting DB ingestion process...
2025-01-15 10:46:13 | INFO | __main__ | Starting DB ingestion process...
2025-01-15 10:48:34 | INFO | __main__ | Starting DB ingestion process...
2025-01-15 10:49:32 | INFO | __main__ | Starting DB ingestion process...
2025-01-15 10:49:32 | INFO | __main__ | Ensured 'stocks' and 'stock_prices' tables and indexes exist.
2025-01-15 10:49:32 | INFO | __main__ | Found 100 records with priority=0 from E:\smarket\data-ingestion\data\indices\transformed_stock_list.json
2025-01-15 10:49:33 | INFO | __main__ | Done ingesting stocks into DB from E:\smarket\data-ingestion\data\indices\transformed_stock_list.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=POWERGRID at path=data/stock_prices/powergrid_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=BHEL at path=data/stock_prices/bhel_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=NTPC at path=data/stock_prices/ntpc_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=ADANIGREEN at path=data/stock_prices/adanigreen_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=ZOMATO at path=data/stock_prices/zomato_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=PFC at path=data/stock_prices/pfc_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=NHPC at path=data/stock_prices/nhpc_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=MARUTI at path=data/stock_prices/maruti_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=TATAPOWER at path=data/stock_prices/tatapower_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=JSWENERGY at path=data/stock_prices/jswenergy_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=ADANIPOWER at path=data/stock_prices/adanipower_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=COALINDIA at path=data/stock_prices/coalindia_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=UNIONBANK at path=data/stock_prices/unionbank_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=BAJAJHLDNG at path=data/stock_prices/bajajhldng_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=RECLTD at path=data/stock_prices/recltd_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=KOTAKBANK at path=data/stock_prices/kotakbank_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=DMART at path=data/stock_prices/dmart_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=ADANIENSOL at path=data/stock_prices/adaniensol_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=CANBK at path=data/stock_prices/canbk_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=AMBUJACEM at path=data/stock_prices/ambujacem_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=MOTHERSON at path=data/stock_prices/motherson_historical_prices.json
2025-01-15 10:49:33 | WARNING | __main__ | No price file found for symbol=GAIL at path=data/stock_prices/gail_historical_prices.json
